Model,Test MAE,Test RMSE,Test R²,Test MAPE (%),CV R²
Random Forest,2.3586170009437373,5.980712750149471,0.9961639530116573,2.118977181176409,0.9947536209901982
PyTorch MLP,6.667092847273433,13.306881391158152,0.9810097535035907,5.710735326519307,
Gradient Boosting,9.03961916006553,15.619036297623747,0.9738370628102161,7.91318403305991,0.9746955035574331
XGBoost,9.44247764283262,16.50668427171079,0.9707788220382128,8.061036352687054,0.9714022306014163
Linear Regression,10.191168037179075,19.345612727989245,0.9598631755136531,7.708435167852426,0.9613518161446526
PyTorch Linear,10.35098026524771,19.395746791931067,0.959654877178975,7.801244612696791,
Polynomial Regression,11.492271122464011,21.40940776314655,0.9508427773184676,9.238509333247443,
